Fecha_Simple,Turno,Minutos,Analistas_Reales,Registros,Capacidad_Dinamica,Utilizacion_Diaria,Nivel_Presion
2025-01-01,B,90.5,2,4,960,0.09427083333333333,Baja
2025-01-01,C,2893.2,8,203,3840,0.7534375,Media
2025-01-02,A,3821.4,11,321,5280,0.72375,Media
2025-01-02,B,3914.5,10,335,4800,0.8155208333333334,Media
2025-01-02,C,3005.6,9,192,4320,0.6957407407407408,Baja
2025-01-03,A,5133.3,11,440,5280,0.9722159090909092,Alta presión
2025-01-03,B,3999.1,10,285,4800,0.8331458333333334,Media
2025-01-03,C,3926.2,8,269,3840,1.0224479166666667,Saturado
2025-01-04,A,4129.5,10,309,4800,0.8603125,Alta presión
2025-01-04,B,3979.2,9,307,4320,0.9211111111111111,Alta presión
2025-01-04,C,3641.4,8,252,3840,0.9482812500000001,Alta presión
2025-01-05,A,4224.2,11,340,5280,0.8000378787878788,Media
2025-01-05,B,4547.0,9,311,4320,1.0525462962962964,Saturado
2025-01-05,C,3613.8,8,247,3840,0.9410937500000001,Alta presión
2025-01-06,A,4742.0,12,390,5760,0.8232638888888889,Media
2025-01-06,B,3762.6,10,302,4800,0.783875,Media
2025-01-06,C,3306.1,8,252,3840,0.8609635416666667,Alta presión
2025-01-07,A,5009.9,11,396,5280,0.9488446969696969,Alta presión
2025-01-07,B,4527.5,9,343,4320,1.0480324074074074,Saturado
2025-01-07,C,3354.6,9,234,4320,0.7765277777777777,Media
2025-01-08,A,5812.3,12,389,5760,1.0090798611111111,Saturado
2025-01-08,B,4026.0,9,314,4320,0.9319444444444445,Alta presión
2025-01-08,C,3566.9,8,250,3840,0.9288802083333334,Alta presión
2025-01-09,A,5277.2,13,445,6240,0.8457051282051282,Media
2025-01-09,B,3699.9,10,283,4800,0.7708125,Media
2025-01-09,C,4370.7,8,296,3840,1.138203125,Saturado
2025-01-10,A,5049.1,12,417,5760,0.8765798611111112,Alta presión
2025-01-10,B,4192.0,9,299,4320,0.9703703703703703,Alta presión
2025-01-10,C,3556.2,8,273,3840,0.9260937499999999,Alta presión
2025-01-11,A,3336.8,9,256,4320,0.7724074074074074,Media
2025-01-11,B,3967.8,9,289,4320,0.9184722222222222,Alta presión
2025-01-11,C,3725.7,8,267,3840,0.970234375,Alta presión
2025-01-12,A,4874.2,13,380,6240,0.7811217948717949,Media
2025-01-12,B,3996.0,9,277,4320,0.925,Alta presión
2025-01-12,C,3271.0,8,246,3840,0.8518229166666667,Alta presión
2025-01-13,A,4213.2,13,345,6240,0.6751923076923076,Baja
2025-01-13,B,3773.6,9,268,4320,0.8735185185185185,Alta presión
2025-01-13,C,3525.1,8,275,3840,0.9179947916666666,Alta presión
2025-01-14,A,4846.0,12,411,5760,0.8413194444444444,Media
2025-01-14,B,3788.9,9,262,4320,0.8770601851851852,Alta presión
2025-01-14,C,2784.4,9,191,4320,0.644537037037037,Baja
2025-01-15,A,4755.2,13,326,6240,0.762051282051282,Media
2025-01-15,B,3779.5,11,280,5280,0.715814393939394,Media
2025-01-15,C,3030.4,8,231,3840,0.7891666666666667,Media
2025-01-16,A,5027.5,13,435,6240,0.8056891025641025,Media
2025-01-16,B,3169.8,9,232,4320,0.73375,Media
2025-01-16,C,3266.8,8,216,3840,0.8507291666666668,Alta presión
2025-01-17,A,5195.6,12,431,5760,0.902013888888889,Alta presión
